Year,Quarter,Region,Model,Units Delivered,Average Price (USD),Production Delay (Days),Battery Type,Drive Type,Color,Range (KM),Charging Time (Min),Efficiency (kWh/100km),CO2 Saved (Tons),Avg Customer Rating,Warranty (Years),Number of Recalls,Software Version,Autopilot Enabled,Total Miles Driven,Update Frequency (Per Year),Battery Replacement Rate,Service Visits (Per Year),Resale Value (%)
2023,Q3,Europe,Model 3,1071,47302.2,10,Standard,AWD,White,362,79,17.19,2265.28,3.91,6,3,2022.8,True,518941,2,0.0226,2.44,73.93
2016,Q3,South America,Semi,3615,77195.0,19,Performance,RWD,Silver,580,89,16.71,8610.9,4.13,5,3,2022.7,True,2255298,7,0.013,1.31,70.59
2023,Q2,Australia,Model 3,358,85053.38,24,Long Range,RWD,Silver,445,59,18.3,257.7,4.45,6,1,2024.12,False,1968479,7,0.0285,1.89,77.81
2023,Q1,Europe,Model X,2915,44360.37,33,Standard,RWD,Blue,695,43,18.12,2826.21,3.62,6,2,2024.10,False,3400673,7,0.093,1.33,73.04
2016,Q3,Asia,Model X,1863,61128.28,16,Standard,RWD,Silver,412,55,19.83,3180.07,3.87,5,2,2022.10,False,2491498,5,0.0617,1.04,72.3
2012,Q2,Europe,Model 3,441,85432.28,32,Long Range,AWD,Silver,594,76,24.22,1092.2,4.5,6,0,2021.3,True,166908,11,0.0501,0.62,65.2
2019,Q1,Australia,Model X,2518,111435.21,33,Long Range,AWD,White,672,75,22.41,3125.06,4.21,5,1,2020.4,True,459961,6,0.035,1.37,69.13
2013,Q2,South America,Model 3,4691,39641.65,1,Standard,RWD,Red,419,79,14.38,9230.38,4.19,8,2,2024.12,False,1696474,7,0.0624,1.76,85.19
2012,Q4,North America,Cybertruck,1839,115272.46,16,Performance,RWD,Silver,502,42,16.11,2123.15,4.08,4,0,2021.9,False,503139,5,0.0367,0.87,84.86
2014,Q2,North America,Model 3,1646,61352.33,18,Standard,RWD,Blue,456,71,14.29,1814.74,4.49,8,3,2024.1,True,4731928,12,0.0382,1.92,64.23
2016,Q4,South America,Model S,1303,110320.28,41,Standard,RWD,Blue,496,34,18.59,1142.27,3.56,5,2,2020.3,True,4601004,7,0.0953,0.83,84.45
2021,Q3,Australia,Model Y,2821,50399.79,48,Long Range,AWD,Black,452,38,19.24,2275.52,4.69,4,1,2020.3,False,3466119,11,0.0992,0.93,86.33
2015,Q1,Europe,Model 3,2127,69704.78,28,Standard,AWD,Green,569,80,18.48,5031.69,3.52,8,1,2023.10,False,2743994,5,0.0909,0.61,68.34
2017,Q2,North America,Model S,1467,112369.99,47,Performance,RWD,Blue,437,45,13.35,1528.18,4.88,5,0,2021.9,False,3945779,3,0.0952,2.1,84.28
2024,Q1,North America,Model Y,1385,116397.01,42,Standard,RWD,Red,541,33,18.27,3126.43,4.12,6,3,2020.8,False,2793707,6,0.0473,1.74,84.97
2014,Q3,North America,Model Y,2997,89384.6,14,Performance,RWD,Black,696,60,20.55,3533.33,4.81,4,1,2021.6,True,2979323,8,0.0455,1.57,81.38
2020,Q2,Europe,Model Y,2090,88312.09,28,Performance,AWD,Black,401,38,14.01,5138.58,3.68,8,0,2021.12,False,4737213,8,0.0827,1.99,61.5
2013,Q4,North America,Model Y,2436,93954.81,51,Performance,AWD,Silver,427,52,14.24,5951.75,4.43,6,1,2024.6,True,4243903,3,0.0255,0.78,74.77
2018,Q3,Europe,Model 3,4617,73624.3,10,Standard,RWD,White,426,39,14.36,3935.05,4.52,6,3,2021.4,True,4626312,5,0.0282,1.08,69.06
2012,Q3,South America,Cybertruck,4138,78228.84,37,Long Range,AWD,White,587,31,22.65,2154.44,4.06,8,2,2020.10,False,1689360,12,0.0503,1.01,81.06
2014,Q4,Australia,Semi,1763,48596.46,56,Performance,RWD,Blue,469,47,15.22,4129.94,4.21,5,1,2022.10,True,247109,8,0.0172,1.3,76.28
2014,Q2,North America,Semi,3071,83679.89,59,Standard,AWD,Silver,496,37,13.86,7211.08,4.93,8,1,2020.3,False,2749161,12,0.0731,1.3,73.08
2019,Q2,Australia,Model 3,2480,91446.83,11,Standard,RWD,Blue,388,51,20.96,4332.57,3.54,6,0,2021.4,True,1970955,12,0.0584,2.2,61.31
2021,Q2,Europe,Model S,735,50026.32,9,Standard,AWD,Red,540,77,16.55,1341.74,4.83,6,1,2023.9,False,4594494,9,0.0992,1.1,60.25
2024,Q1,South America,Model X,2197,82283.12,3,Long Range,RWD,White,418,83,23.04,1102.72,4.69,5,3,2023.11,False,2151450,7,0.0569,2.05,88.79
2022,Q4,Asia,Model Y,2596,100881.02,7,Performance,RWD,Green,416,43,16.55,2234.08,4.42,8,1,2021.2,True,1635297,2,0.0375,0.63,68.53
2021,Q3,South America,Model 3,973,58919.38,31,Performance,AWD,Red,591,85,20.38,785.06,4.64,6,0,2021.9,True,1030243,10,0.0118,0.94,72.96
2018,Q1,Europe,Semi,67,40302.98,22,Standard,AWD,Silver,522,42,19.53,58.77,3.64,6,0,2022.3,False,2149100,10,0.0909,1.6,60.06
2017,Q2,Australia,Cybertruck,1450,91098.7,36,Performance,AWD,Red,580,55,19.41,1978.37,4.73,8,1,2021.3,True,4307739,11,0.0904,1.85,86.48
2015,Q2,Australia,Model Y,732,77980.95,40,Standard,RWD,Black,553,59,14.26,1001.45,3.96,4,0,2020.4,True,4343305,4,0.0281,0.95,78.26
2013,Q2,Asia,Model 3,3827,97659.72,46,Standard,RWD,White,360,55,24.43,5604.86,4.08,4,3,2022.10,True,152629,12,0.0909,1.58,63.01
2022,Q3,Europe,Model S,1093,74702.56,28,Long Range,AWD,Blue,607,74,14.33,2666.78,4.13,5,2,2022.11,False,1594808,12,0.0115,1.93,81.96
2023,Q4,Australia,Model X,3320,80378.66,48,Standard,RWD,Silver,398,38,16.88,3015.49,4.43,5,2,2022.4,False,3750347,12,0.0673,2.03,82.15
2014,Q1,Australia,Model X,3942,47131.15,39,Long Range,RWD,Silver,505,34,22.17,6497.16,4.09,4,0,2024.10,False,2675248,12,0.0712,1.01,70.56
2021,Q3,Australia,Model X,666,116056.71,12,Performance,RWD,Red,560,59,15.91,1450.41,4.28,6,1,2023.12,True,3294555,6,0.0799,1.57,67.96
2017,Q1,South America,Model 3,4266,103527.3,56,Standard,RWD,Black,410,83,23.65,2400.9,4.1,8,0,2023.7,False,4737867,11,0.0912,0.54,76.33
2016,Q3,Asia,Cybertruck,905,100464.66,0,Performance,AWD,Green,371,51,18.79,1659.33,4.31,5,3,2022.12,True,4741687,7,0.0474,2.23,60.44
2019,Q3,North America,Model S,55,53092.6,43,Long Range,RWD,Green,556,36,20.11,123.14,4.39,5,0,2022.7,False,914461,10,0.0335,1.63,84.76
2020,Q3,Australia,Model Y,4715,39401.84,48,Long Range,AWD,Green,410,63,18.67,6265.72,4.46,4,0,2020.11,True,3688032,7,0.09,0.75,66.93
2016,Q3,Asia,Model 3,4977,85601.01,2,Long Range,RWD,White,690,51,24.46,8049.06,4.89,6,1,2022.1,False,1289197,4,0.0205,2.32,78.34
2018,Q4,Europe,Model X,3535,100290.06,11,Standard,AWD,Silver,354,51,15.83,8355.82,4.47,6,3,2020.5,False,2677845,9,0.0911,1.11,68.66
2024,Q3,Asia,Cybertruck,1875,86066.49,20,Standard,AWD,Black,623,44,16.75,2771.62,3.62,5,2,2022.12,False,1930070,3,0.025,2.16,86.98
2012,Q1,Europe,Model Y,1096,90965.02,60,Standard,AWD,Green,591,45,24.08,1951.08,4.45,8,3,2021.7,False,4596895,12,0.0591,0.99,70.4
2017,Q3,South America,Model X,1450,50380.29,42,Long Range,AWD,Green,527,38,21.55,1631.62,4.11,6,3,2022.10,True,3863353,3,0.0149,2.33,75.87
2022,Q1,Asia,Model X,4959,42883.42,28,Long Range,RWD,White,591,44,22.18,8813.42,4.03,5,2,2023.9,False,1040656,9,0.0207,1.66,81.07
2021,Q4,Europe,Model X,2420,107029.46,38,Standard,AWD,White,468,61,19.13,1356.58,3.79,5,3,2020.2,True,2110295,12,0.0569,1.7,65.47
2012,Q4,South America,Cybertruck,1484,104027.23,35,Standard,RWD,Black,595,64,18.7,770.62,4.74,8,1,2022.11,True,2729500,4,0.021,1.88,72.26
2022,Q2,Asia,Semi,1904,76023.63,51,Performance,AWD,Red,612,66,23.36,2308.56,4.53,5,2,2022.7,False,835029,9,0.0498,1.26,64.88
2024,Q4,South America,Model S,2592,54081.13,52,Long Range,AWD,Silver,659,66,16.08,3245.55,4.69,6,2,2020.10,True,409801,3,0.0143,1.69,70.21
2015,Q1,South America,Model 3,2838,48916.7,45,Standard,RWD,Green,617,48,23.86,2385.06,3.94,6,2,2024.11,False,4989207,7,0.0494,1.62,86.31
2024,Q4,Asia,Semi,4727,64625.01,33,Standard,AWD,Silver,376,41,14.72,6533.73,4.38,4,1,2022.9,True,3890419,3,0.0516,2.35,82.52
2020,Q3,Asia,Model X,860,102142.14,50,Standard,RWD,Blue,431,63,24.94,2119.11,3.66,5,1,2020.4,False,3744157,10,0.0203,0.66,67.37
2019,Q1,Asia,Model X,4772,35965.3,52,Standard,AWD,Red,577,59,19.93,5921.16,3.72,8,3,2024.4,True,3234561,3,0.0665,1.81,82.34
2020,Q1,Australia,Semi,147,100348.19,42,Long Range,AWD,Black,694,55,13.24,292.36,3.68,5,0,2020.4,True,4910910,9,0.0377,1.79,69.45
2013,Q2,Australia,Model S,4751,40021.02,33,Long Range,AWD,Silver,412,32,16.4,2955.09,3.7,5,3,2021.7,True,2979398,10,0.0547,1.26,72.06
2019,Q1,Europe,Semi,2906,78320.85,38,Long Range,AWD,Black,530,45,22.58,1803.78,3.51,6,2,2023.2,False,2548624,9,0.0699,0.67,70.03
2018,Q4,Europe,Cybertruck,4042,83288.48,22,Long Range,AWD,Red,544,48,15.95,9753.5,4.42,5,1,2023.8,True,3933054,2,0.087,1.59,72.65
2024,Q4,Australia,Model S,2860,112699.57,18,Standard,AWD,Blue,480,46,13.82,5461.43,4.12,4,0,2024.12,False,2812287,12,0.0902,1.17,86.17
2022,Q3,Australia,Model X,401,117901.6,7,Standard,AWD,Green,636,64,13.01,593.81,3.82,6,1,2023.7,True,3641843,4,0.094,1.52,63.07
2022,Q3,Asia,Model Y,1000,79953.83,37,Standard,RWD,Black,361,66,17.94,2094.58,4.13,8,2,2024.11,True,4878719,4,0.0256,1.57,85.75
2021,Q4,Asia,Model X,2922,44510.3,45,Standard,RWD,Silver,582,38,23.15,2181.48,3.9,5,0,2023.9,True,986326,8,0.0855,2.14,83.27
2024,Q1,Europe,Model X,1756,85205.05,48,Performance,AWD,Silver,602,43,19.58,2434.47,4.62,5,1,2021.7,False,4083719,9,0.0113,1.0,66.98
2012,Q1,South America,Model S,2909,51405.12,52,Performance,RWD,Red,445,64,14.53,2229.69,3.9,5,0,2022.2,True,2051557,3,0.065,1.95,70.68
2019,Q2,North America,Model X,2339,40634.2,3,Performance,RWD,Green,652,83,21.45,1635.92,3.82,6,2,2021.9,True,599098,11,0.0534,1.73,62.96
2022,Q2,Europe,Model X,4506,115930.03,1,Performance,RWD,Black,549,46,23.39,7428.92,3.81,5,2,2020.8,False,1309243,4,0.0361,1.03,86.7
2022,Q2,Europe,Model Y,866,44170.0,53,Performance,AWD,Red,448,49,17.59,1180.57,4.53,5,0,2023.1,True,4681483,8,0.0504,1.81,61.68
2014,Q1,North America,Cybertruck,2796,101251.79,15,Long Range,RWD,Green,419,34,19.85,2497.35,4.94,4,0,2022.8,False,2725537,2,0.0154,1.49,64.1
2024,Q1,North America,Model Y,1821,87303.55,5,Standard,AWD,Green,581,40,14.92,1308.05,4.31,8,0,2024.8,True,3370278,9,0.0228,0.74,84.13
2016,Q3,Asia,Semi,3388,102349.51,31,Standard,AWD,Silver,385,60,23.01,4775.64,3.96,8,0,2021.4,False,2559000,4,0.0265,0.79,79.44
2012,Q2,Asia,Model 3,1808,112466.41,17,Standard,AWD,Green,690,76,13.2,1886.1,4.61,8,3,2021.7,True,1846878,12,0.0264,1.78,70.59
2013,Q2,Europe,Model Y,3400,41706.74,29,Performance,RWD,Green,635,31,24.65,6304.47,3.91,6,2,2024.9,False,1039077,8,0.0133,0.71,77.25
2013,Q3,South America,Cybertruck,794,49512.01,27,Performance,RWD,Green,496,76,20.28,1247.95,4.12,8,3,2024.11,False,1164528,5,0.0517,2.5,87.24
2020,Q3,Asia,Model Y,2170,37009.03,47,Standard,RWD,Green,635,35,24.72,1560.38,3.55,6,1,2020.7,False,465844,2,0.0463,1.97,82.92
2024,Q2,Australia,Cybertruck,1097,105856.49,50,Long Range,AWD,White,626,47,19.12,1141.8,4.92,4,1,2020.4,False,2772284,6,0.0489,0.8,85.67
2014,Q1,Europe,Model 3,4077,93337.13,47,Standard,AWD,White,518,30,23.54,8246.65,3.5,4,0,2024.9,False,2185968,6,0.0769,2.49,73.6
2021,Q1,South America,Model S,77,78873.43,36,Performance,AWD,Red,479,37,17.87,38.91,4.37,4,3,2024.12,True,2072136,4,0.0717,0.9,73.7
2021,Q4,South America,Model S,3230,35757.04,50,Performance,RWD,White,628,83,24.41,7705.51,4.8,8,3,2022.7,True,440833,2,0.0121,1.69,85.23
2021,Q3,Europe,Model 3,3609,45092.96,6,Performance,AWD,Blue,392,89,14.15,8173.52,3.98,6,2,2022.9,True,4909449,6,0.0235,0.54,79.08
2024,Q1,North America,Model X,1716,62535.06,15,Long Range,RWD,Blue,365,58,16.86,4095.92,4.41,6,2,2024.12,False,3492537,8,0.0497,1.93,62.86
2020,Q2,Asia,Semi,181,103859.63,45,Performance,AWD,Green,609,39,24.05,326.75,4.27,6,0,2021.7,True,382534,10,0.0412,2.27,74.91
2023,Q3,Europe,Model Y,1912,102121.83,22,Performance,AWD,Blue,509,40,24.41,1805.96,4.99,4,0,2022.2,True,894411,10,0.0955,1.6,69.96
2020,Q1,Australia,Model S,1497,101835.65,20,Long Range,AWD,White,690,85,23.71,1091.08,3.55,8,1,2021.1,False,3677494,8,0.0121,0.67,76.85
2020,Q2,Australia,Model S,292,42627.14,56,Performance,AWD,Black,415,66,21.82,686.33,4.14,6,0,2021.1,False,4565688,7,0.011,1.97,73.06
2017,Q2,Asia,Model X,3177,96659.52,56,Long Range,AWD,Black,575,56,24.85,7002.94,3.95,4,0,2024.2,False,2084726,2,0.0429,1.94,83.96
2015,Q3,Australia,Model 3,2175,54964.67,35,Long Range,AWD,Blue,559,64,15.03,5177.38,4.64,5,3,2021.7,False,131820,10,0.0453,1.34,84.28
2017,Q4,Europe,Model 3,2311,118603.03,59,Performance,RWD,Blue,629,58,19.13,5057.9,4.69,6,3,2023.2,True,4950134,2,0.0675,1.22,61.09
2013,Q3,South America,Cybertruck,4009,119440.85,9,Standard,AWD,White,489,81,15.51,2434.65,4.59,8,1,2020.3,True,2920907,12,0.049,1.01,82.15
2017,Q2,Asia,Model X,4759,101780.65,1,Long Range,RWD,White,679,82,14.06,3557.11,4.51,8,1,2024.9,True,4555998,4,0.0517,0.51,80.06
2015,Q3,Europe,Model X,4856,102061.18,32,Performance,AWD,Green,383,63,19.2,8125.9,4.13,4,3,2023.5,True,3013503,3,0.0835,2.49,65.45
2014,Q3,Asia,Model 3,2335,41992.25,46,Standard,AWD,Red,410,75,17.82,2619.66,4.62,8,0,2021.8,True,942888,12,0.0885,1.27,89.62
2015,Q2,North America,Semi,1701,43927.94,28,Performance,AWD,Red,395,81,16.31,4042.8,3.81,8,0,2021.2,False,929645,11,0.084,2.02,76.64
2012,Q1,Australia,Model 3,2956,93118.15,39,Standard,RWD,Red,647,71,16.42,7261.02,4.2,6,2,2020.11,True,746269,5,0.0962,1.18,70.13
2014,Q1,North America,Model Y,1413,82439.5,43,Long Range,AWD,Blue,420,79,18.62,2855.54,4.57,8,0,2023.2,False,330605,10,0.0721,0.72,78.47
2014,Q2,Europe,Semi,4930,109724.8,37,Performance,RWD,White,596,61,22.3,7744.77,4.23,5,0,2023.7,True,158503,4,0.0818,1.59,80.21
2023,Q3,Asia,Model Y,4150,37675.62,10,Performance,RWD,Green,500,42,22.58,3195.11,4.81,5,1,2020.7,True,3325015,11,0.0702,1.26,70.57
2019,Q3,Australia,Semi,3917,36693.46,51,Long Range,RWD,Red,573,69,21.28,3884.94,4.77,6,1,2020.6,True,1068381,8,0.0905,2.15,71.65
2012,Q4,North America,Model 3,1668,65938.19,60,Performance,RWD,Black,494,84,15.54,3329.52,3.67,5,1,2022.9,False,4322734,3,0.0298,0.52,87.39
2023,Q4,South America,Model S,176,61893.39,14,Standard,AWD,Red,538,88,13.86,255.65,4.05,8,2,2023.12,True,2038509,12,0.0881,1.73,69.9
2016,Q1,North America,Model S,2719,36451.46,7,Long Range,RWD,Blue,482,79,24.92,4027.3,4.73,8,0,2022.8,True,4728913,7,0.0389,2.03,85.93
2014,Q1,Australia,Model Y,2749,103610.3,8,Standard,RWD,Silver,604,62,14.18,3366.32,3.73,4,3,2021.4,False,258215,4,0.0366,1.09,82.75
2017,Q3,Australia,Model Y,3888,47014.45,22,Standard,RWD,Red,363,59,15.44,8374.05,4.2,6,3,2022.11,False,4559037,12,0.0777,1.46,81.68
2015,Q1,Australia,Model X,2564,118189.51,33,Standard,AWD,Blue,501,82,13.87,2829.19,4.77,8,1,2023.1,True,4819619,4,0.0399,2.04,71.83
2020,Q4,Europe,Model Y,1573,82175.05,53,Long Range,AWD,Blue,563,57,16.01,818.86,4.48,8,1,2021.8,True,1832475,7,0.0287,1.6,87.63
2019,Q4,Europe,Model X,4995,45657.33,57,Performance,RWD,Green,608,83,18.7,3018.16,4.84,4,2,2024.9,False,2060887,4,0.0152,1.17,71.12
2015,Q3,North America,Model X,258,93420.85,60,Performance,AWD,Blue,452,66,18.02,172.24,4.86,8,3,2022.1,False,1709371,12,0.0691,1.14,73.51
2023,Q4,South America,Cybertruck,3845,77483.97,21,Long Range,RWD,Black,573,84,13.92,7339.83,3.54,6,1,2021.8,True,3475921,4,0.051,0.91,61.79
2014,Q2,Europe,Model Y,896,44045.43,4,Long Range,RWD,Green,600,57,20.28,2183.93,3.66,5,0,2022.3,False,1056469,6,0.0341,1.6,77.31
2015,Q1,Asia,Model 3,898,106021.38,37,Standard,AWD,Silver,441,41,13.36,772.61,4.12,4,0,2022.3,False,2353495,9,0.0846,0.62,76.39
2013,Q4,Australia,Model S,1819,103528.99,5,Long Range,AWD,Blue,370,86,17.11,948.72,3.55,5,1,2021.7,False,1639643,6,0.0925,1.25,66.72
2013,Q4,Europe,Cybertruck,2332,101514.18,27,Standard,AWD,Silver,463,66,13.39,3020.87,4.89,6,0,2021.6,False,1012057,11,0.0297,1.71,63.82
2023,Q2,Australia,Model 3,4481,108200.21,10,Performance,AWD,Blue,463,52,20.83,4915.34,4.66,8,0,2021.7,False,3896369,8,0.0681,2.15,73.61
2014,Q3,Asia,Model 3,4867,76586.42,39,Performance,RWD,Red,581,76,13.01,10796.59,4.15,4,3,2023.6,False,282036,4,0.014,0.52,81.45
2013,Q2,South America,Model S,1409,50824.52,4,Long Range,RWD,Black,667,32,16.35,2232.46,4.87,5,1,2021.6,True,2174219,5,0.0256,2.41,67.34
2013,Q1,Europe,Model X,2764,64244.46,3,Standard,AWD,White,495,51,22.55,5157.35,3.55,8,2,2021.10,True,2160269,5,0.0888,1.09,67.39
2014,Q4,Europe,Model S,4452,37265.44,36,Performance,AWD,Red,414,83,24.59,4625.32,3.91,5,0,2023.6,False,2726111,11,0.0641,0.77,61.69
2014,Q2,Australia,Model Y,1672,41396.59,29,Long Range,RWD,White,431,34,23.88,2119.86,4.39,6,0,2024.4,False,2968046,11,0.0987,0.7,63.97
2018,Q4,North America,Semi,1926,43489.34,23,Standard,RWD,Black,566,84,24.41,2786.74,3.73,8,2,2023.2,True,313111,11,0.0483,1.4,82.99
2012,Q1,South America,Cybertruck,1347,91086.81,56,Performance,RWD,White,420,47,13.73,1121.28,3.66,6,1,2022.6,True,2765858,3,0.0344,1.94,64.19
2021,Q1,Asia,Model 3,454,78981.1,28,Long Range,RWD,Green,421,46,18.59,1111.23,4.06,6,1,2021.2,True,2233829,12,0.0818,1.14,87.95
2024,Q1,South America,Model 3,110,60713.44,34,Long Range,RWD,Red,570,61,20.61,237.49,3.8,5,1,2021.10,False,3072001,3,0.0422,1.74,61.71
2017,Q4,South America,Semi,2424,116602.98,17,Standard,RWD,Green,607,80,22.41,4776.45,4.3,5,2,2023.12,False,1232258,8,0.081,0.54,75.24
2018,Q4,Europe,Semi,4838,101208.08,23,Long Range,AWD,Green,513,77,17.48,10021.78,4.09,5,1,2021.6,True,991621,10,0.0265,1.96,79.91
2022,Q4,Europe,Model X,3713,49628.78,26,Standard,RWD,Black,680,30,14.09,8879.74,4.69,5,2,2020.5,True,196004,2,0.0645,1.81,71.83
2023,Q4,North America,Model 3,3407,68872.66,16,Long Range,AWD,Silver,534,57,15.33,2158.36,4.75,4,0,2021.10,True,518610,3,0.0617,0.99,82.89
2020,Q2,Europe,Model 3,2490,106090.08,5,Standard,AWD,Blue,352,74,13.56,6051.15,4.9,5,3,2023.11,True,2787465,8,0.0353,0.72,80.55
2018,Q1,Australia,Model Y,1113,68228.4,13,Performance,RWD,Red,357,66,16.91,1587.2,3.8,8,0,2023.7,True,1970084,12,0.02,2.47,86.58
2024,Q4,North America,Model S,2171,59064.71,5,Long Range,RWD,Black,452,75,14.19,2600.71,4.85,6,0,2021.8,True,3991659,9,0.0693,1.28,70.86
2018,Q1,Australia,Semi,1757,102153.32,38,Long Range,AWD,Silver,373,82,16.33,2384.48,3.6,6,2,2020.9,False,265866,3,0.0852,1.49,78.46
2015,Q2,Asia,Semi,1547,38499.99,10,Long Range,AWD,Blue,507,47,22.26,1014.12,4.24,5,2,2022.7,False,1747276,10,0.0842,1.65,73.46
2024,Q1,Europe,Model X,2453,100680.42,23,Performance,AWD,Blue,420,56,19.71,1429.91,4.53,5,1,2024.7,False,630321,12,0.0111,2.41,77.87
2015,Q3,Asia,Model Y,2244,49822.39,25,Performance,RWD,Black,514,79,20.08,1193.82,4.7,5,3,2024.2,False,3684796,2,0.0374,2.19,79.05
2023,Q1,Asia,Model 3,3782,77941.05,58,Performance,RWD,White,458,59,13.61,7395.64,3.62,8,2,2023.5,False,4020448,4,0.0711,1.28,67.02
2020,Q1,Asia,Semi,2482,109992.78,5,Performance,RWD,Silver,661,66,13.4,1537.9,4.18,5,0,2020.9,False,2906169,2,0.0728,1.8,85.13
2018,Q1,Asia,Model 3,3026,70011.28,56,Long Range,AWD,White,368,44,21.47,4201.34,4.87,5,1,2020.7,False,3791252,12,0.029,2.13,74.13
2024,Q1,South America,Model 3,1549,97466.12,26,Long Range,RWD,Silver,678,47,22.31,2677.63,4.66,8,3,2022.4,False,491671,8,0.0524,0.91,72.44
2016,Q2,South America,Semi,4176,99254.81,25,Standard,RWD,Green,515,84,13.26,7690.07,3.95,5,1,2020.12,False,592266,6,0.0683,1.62,82.95
2024,Q1,South America,Model Y,3677,37527.86,25,Standard,AWD,Red,385,55,22.16,6088.23,4.94,4,3,2021.10,True,4369551,11,0.0172,2.49,84.49
2014,Q4,North America,Cybertruck,1310,70587.76,20,Standard,AWD,Blue,396,59,21.85,3070.78,4.3,6,2,2021.7,False,1423177,2,0.0286,1.89,76.07
2022,Q2,North America,Semi,1994,116399.51,19,Performance,AWD,Red,494,52,22.3,3431.66,4.13,4,3,2024.3,True,2951947,10,0.0495,0.5,67.75
2021,Q2,Asia,Model 3,4649,112559.34,47,Long Range,AWD,Red,425,80,23.46,8631.28,4.61,8,0,2023.8,True,3341061,12,0.0439,1.78,79.9
2022,Q1,Asia,Semi,4372,84291.36,48,Standard,AWD,Blue,683,84,16.03,8939.86,4.88,5,0,2022.1,True,3864541,2,0.0203,0.61,77.97
2014,Q4,Asia,Model S,3705,109786.02,13,Standard,AWD,Silver,677,87,23.39,8217.71,4.18,8,1,2024.3,False,4715980,4,0.0686,2.04,84.99
2020,Q3,North America,Semi,207,73899.68,33,Performance,RWD,Silver,444,71,20.76,364.88,3.63,8,0,2023.10,True,3328594,3,0.0254,1.44,71.76
2012,Q1,South America,Model 3,187,55409.16,7,Long Range,AWD,Green,439,89,18.06,345.02,4.82,6,2,2021.6,False,1642500,12,0.0328,2.5,80.41
2019,Q1,North America,Model 3,139,97541.7,18,Performance,AWD,White,433,72,23.52,129.26,4.4,4,1,2021.8,False,2185777,2,0.0264,2.32,77.1
2018,Q1,Europe,Cybertruck,3136,90167.14,28,Standard,AWD,White,474,54,16.82,6864.46,4.84,6,0,2022.6,True,3664439,6,0.0551,0.66,75.98
2019,Q3,Asia,Semi,183,117526.27,55,Long Range,RWD,Silver,629,39,14.43,411.49,4.35,8,1,2024.6,False,3455994,8,0.0237,0.9,63.82
2018,Q1,Australia,Model Y,3847,86367.12,39,Performance,RWD,White,649,34,14.55,6397.38,4.35,8,1,2021.12,True,2252284,4,0.0644,1.27,64.97
2018,Q2,North America,Model Y,3465,68843.19,29,Performance,RWD,Black,446,87,17.14,5961.69,4.39,5,1,2021.6,False,3453910,10,0.0563,1.92,73.53
2014,Q3,Australia,Model S,2516,45320.53,16,Performance,AWD,Red,617,90,23.4,2523.39,4.41,5,0,2022.4,True,809993,4,0.0992,1.3,60.88
2013,Q3,Asia,Model S,3870,114045.43,9,Performance,AWD,White,683,72,15.72,2196.27,3.93,4,1,2022.2,True,1812326,10,0.083,1.49,64.57
2022,Q4,Europe,Model S,4895,87096.29,27,Performance,RWD,Green,546,49,14.92,10141.5,4.91,5,2,2020.6,True,566500,10,0.0264,1.17,66.96
2021,Q4,Australia,Model Y,888,87902.75,16,Performance,RWD,Black,641,90,24.72,1823.58,4.88,4,2,2023.9,True,136187,3,0.0526,1.23,78.84
2012,Q4,South America,Model Y,3400,43542.84,33,Long Range,RWD,Blue,428,78,22.17,7924.39,4.46,6,0,2022.4,False,4216730,6,0.0208,0.83,66.77
2013,Q2,Australia,Semi,2636,107285.72,6,Standard,AWD,Blue,600,61,15.36,2211.91,4.24,6,0,2021.7,True,4928472,12,0.0261,0.59,80.85
2021,Q1,South America,Model 3,4274,76163.74,13,Long Range,AWD,Black,502,76,15.21,4649.46,4.99,6,3,2022.9,True,2372755,9,0.0488,1.39,88.76
2018,Q2,Europe,Model X,588,113455.42,56,Standard,RWD,Blue,514,34,22.33,1009.36,4.68,4,2,2020.8,True,1496356,10,0.0634,0.66,70.55
2015,Q3,North America,Cybertruck,651,82459.27,22,Performance,AWD,White,527,64,21.9,1274.55,4.71,6,3,2022.5,False,3168094,5,0.0642,0.73,71.95
2022,Q4,Australia,Model S,464,59229.8,37,Standard,AWD,Green,509,50,23.71,340.79,3.91,4,1,2024.12,True,1594942,3,0.0824,0.55,66.27
2018,Q4,Europe,Semi,376,55276.53,23,Performance,RWD,Green,492,70,24.67,747.29,4.49,4,1,2023.6,True,2934897,3,0.0974,1.26,80.76
2023,Q2,Europe,Semi,1989,64116.39,26,Standard,AWD,Red,447,68,24.83,2187.82,4.78,4,3,2023.1,False,457020,11,0.0251,2.46,81.47
2021,Q1,South America,Semi,2361,108580.48,5,Standard,AWD,Green,424,81,17.68,1653.93,4.0,6,2,2024.1,False,1467421,8,0.0317,1.82,63.34
2022,Q4,North America,Model X,3775,102891.23,43,Standard,AWD,Red,510,44,20.21,5438.9,3.51,8,2,2022.12,False,2585258,9,0.0754,2.42,61.7
2020,Q2,Europe,Model S,3685,98810.78,18,Long Range,AWD,Silver,643,51,21.75,6091.89,4.13,8,3,2023.3,False,1608288,5,0.0394,2.02,71.28
2012,Q3,Europe,Model S,1179,98668.43,4,Performance,RWD,Red,416,53,18.83,1899.43,4.17,5,3,2024.7,True,2873643,2,0.0454,0.58,71.87
2018,Q1,Asia,Model S,1108,97129.39,56,Performance,AWD,Green,674,57,16.19,571.76,4.32,4,0,2021.10,True,1092083,4,0.0153,1.98,79.17
